LinkID,EndPointID,CRUID,FEEID,ModuleType,LocalChannelID,channel #,EndPoint/Link,Module,PM channel,HV board,HV channel,MCP S/N,HV cable,signal cable,orientation,group
5,0,0,F0A5,PM,02,0,0/5,PMA5,PMA5/Ch02,1,HVA1/07,2180,FTA-B3,FTA-B3-4,2,A-side Inner ring
5,0,0,F0A5,PM,04,1,0/5,PMA5,PMA5/Ch04,1,HVA1/07,2180,FTA-B3,FTA-B3-1,2,A-side Inner ring
5,0,0,F0A5,PM,03,2,0/5,PMA5,PMA5/Ch03,1,HVA1/07,2180,FTA-B3,FTA-B3-2,2,A-side Inner ring
5,0,0,F0A5,PM,01,3,0/5,PMA5,PMA5/Ch01,1,HVA1/07,2180,FTA-B3,FTA-B3-3,2,A-side Inner ring
6,0,0,F0A6,PM,03,4,0/6,PMA6,PMA6/Ch03,1,HVA1/06,2185,FTA-B2,FTA-B2-2,3,A-side Inner ring
6,0,0,F0A6,PM,01,5,0/6,PMA6,PMA6/Ch01,1,HVA1/06,2185,FTA-B2,FTA-B2-1,3,A-side Inner ring
6,0,0,F0A6,PM,04,6,0/6,PMA6,PMA6/Ch04,1,HVA1/06,2185,FTA-B2,FTA-B2-3,3,A-side Inner ring
6,0,0,F0A6,PM,02,7,0/6,PMA6,PMA6/Ch02,1,HVA1/06,2185,FTA-B2,FTA-B2-4,3,A-side Inner ring
7,0,0,F0A7,PM,02,8,0/7,PMA7,PMA7/Ch02,1,HVA1/11,2163,FTA-C2,FTA-C2-1,2,A-side Inner ring
7,0,0,F0A7,PM,04,9,0/7,PMA7,PMA7/Ch04,1,HVA1/11,2163,FTA-C2,FTA-C2-2,2,A-side Inner ring
7,0,0,F0A7,PM,03,10,0/7,PMA7,PMA7/Ch03,1,HVA1/11,2163,FTA-C2,FTA-C2-3,2,A-side Inner ring
7,0,0,F0A7,PM,01,11,0/7,PMA7,PMA7/Ch01,1,HVA1/11,2163,FTA-C2,FTA-C2-4,2,A-side Inner ring
0,0,0,F0A0,PM,03,12,0/0,PMA0,PMA0/Ch03,0,HVA0/03,2186,FTA-D2,FTA-D2-2,2,A-side Inner ring
0,0,0,F0A0,PM,01,13,0/0,PMA0,PMA0/Ch01,0,HVA0/03,2186,FTA-D2,FTA-D2-1,2,A-side Inner ring
0,0,0,F0A0,PM,04,14,0/0,PMA0,PMA0/Ch04,0,HVA0/03,2186,FTA-D2,FTA-D2-3,2,A-side Inner ring
0,0,0,F0A0,PM,02,15,0/0,PMA0,PMA0/Ch02,0,HVA0/03,2186,FTA-D2,FTA-D2-4,2,A-side Inner ring
1,0,0,F0A1,PM,02,16,0/1,PMA1,PMA1/Ch02,0,HVA0/04,2184,FTA-D3,FTA-D3-2,2,A-side Inner ring
1,0,0,F0A1,PM,04,17,0/1,PMA1,PMA1/Ch04,0,HVA0/04,2184,FTA-D3,FTA-D3-3,2,A-side Inner ring
1,0,0,F0A1,PM,03,18,0/1,PMA1,PMA1/Ch03,0,HVA0/04,2184,FTA-D3,FTA-D3-4,2,A-side Inner ring
1,0,0,F0A1,PM,01,19,0/1,PMA1,PMA1/Ch01,0,HVA0/04,2184,FTA-D3,FTA-D3-1,2,A-side Inner ring
2,0,0,F0A2,PM,03,20,0/2,PMA2,PMA2/Ch03,0,HVA0/05,2164,FTA-D4,FTA-D4-2,1,A-side Inner ring
2,0,0,F0A2,PM,01,21,0/2,PMA2,PMA2/Ch01,0,HVA0/05,2164,FTA-D4,FTA-D4-1,1,A-side Inner ring
2,0,0,F0A2,PM,04,22,0/2,PMA2,PMA2/Ch04,0,HVA0/05,2164,FTA-D4,FTA-D4-3,1,A-side Inner ring
2,0,0,F0A2,PM,02,23,0/2,PMA2,PMA2/Ch02,0,HVA0/05,2164,FTA-D4,FTA-D4-4,1,A-side Inner ring
3,0,0,F0A3,PM,02,24,0/3,PMA3,PMA3/Ch02,0,HVA0/00,2132,FTA-C4,FTA-C4-2,1,A-side Inner ring
3,0,0,F0A3,PM,04,25,0/3,PMA3,PMA3/Ch04,0,HVA0/00,2132,FTA-C4,FTA-C4-3,1,A-side Inner ring
3,0,0,F0A3,PM,03,26,0/3,PMA3,PMA3/Ch03,0,HVA0/00,2132,FTA-C4,FTA-C4-4,1,A-side Inner ring
3,0,0,F0A3,PM,01,27,0/3,PMA3,PMA3/Ch01,0,HVA0/00,2132,FTA-C4,FTA-C4-1,1,A-side Inner ring
4,0,0,F0A4,PM,03,28,0/4,PMA4,PMA4/Ch03,1,HVA1/08,2183,FTA-B4,FTA-B4-2,4,A-side Inner ring
4,0,0,F0A4,PM,01,29,0/4,PMA4,PMA4/Ch01,1,HVA1/08,2183,FTA-B4,FTA-B4-1,4,A-side Inner ring
